City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,marquette,46.5333,-87.6335,273.29,77,98,0.45,US,1682299115
1,cole harbour,44.6724,-63.4751,277.86,89,79,3.09,CA,1682299116
2,as sulayyil,20.4607,45.5779,294.29,41,1,2.73,SA,1682299116
3,puerto quijarro,-17.7833,-57.7667,296.54,73,17,0.33,BO,1682299116
4,iqaluit,63.7506,-68.5145,274.0,93,100,1.03,CA,1682299116
5,nikolayevsk-on-amure,53.1406,140.73,276.24,59,12,7.33,RU,1682299116
6,chonchi,-42.6128,-73.8092,279.33,96,1,0.45,CL,1682299116
7,margaret river,-33.95,115.0667,286.96,64,86,7.66,AU,1682299117
8,jinchang,38.4953,102.1739,282.96,51,100,4.18,CN,1682299117
9,naze,28.3667,129.4833,294.66,78,29,6.31,JP,1682299117
10,port-aux-francais,-49.35,70.2167,277.34,62,99,14.35,TF,1682299117
11,tsuruga,35.6455,136.0558,284.61,39,100,3.5,JP,1682299117
12,baharly,38.4362,57.4316,293.42,37,59,1.77,TM,1682299117
13,puerto natales,-51.7236,-72.4875,280.15,96,100,1.3,CL,1682299117
14,kailua-kona,19.6406,-155.9956,301.13,79,75,4.63,US,1682299108
15,bethel,41.3712,-73.414,285.2,80,100,0.0,US,1682299118
16,igarka,67.4667,86.5833,273.43,94,100,6.26,RU,1682299118
17,colorado,-22.8375,-51.9731,292.27,80,60,3.5,BR,1682299118
18,grytviken,-54.2811,-36.5092,275.48,93,100,7.26,GS,1682299118
19,longyearbyen,78.2186,15.6401,264.06,79,0,3.09,SJ,1682299118
20,adamstown,-25.066,-130.1015,296.9,91,93,7.68,PN,1682299119
21,yellowknife,62.456,-114.3525,278.8,76,48,2.41,CA,1682298821
22,saudarkrokur,65.7461,-19.6394,273.66,68,35,0.2,IS,1682299119
23,mil'kovo,55.6078,37.7956,284.29,60,45,1.83,RU,1682299119
24,iskateley,67.6803,53.1512,264.96,92,23,6.44,RU,1682299119
25,korla,41.7597,86.1469,282.64,55,100,1.22,CN,1682299120
26,santarem,-2.4431,-54.7083,298.22,94,20,3.6,BR,1682299120
27,kapa'a,22.0752,-159.319,300.14,75,100,5.66,US,1682299120
28,mount isa,-20.7333,139.5,302.02,37,73,6.17,AU,1682299120
29,port lincoln,-34.7333,135.8667,294.46,50,0,4.83,AU,1682299120
30,klyuchi,52.2667,79.1667,281.5,48,29,8.05,RU,1682299120
31,edinburgh of the seven seas,-37.0676,-12.3116,288.66,63,92,11.74,SH,1682299120
32,alaghsas,17.0187,8.0168,301.97,7,36,3.21,NE,1682299121
33,yuzhno-kurilsk,44.0306,145.8556,277.05,70,99,5.92,RU,1682299121
34,ouricuri,-7.8825,-40.0817,293.98,59,100,1.38,BR,1682298915
35,pskov,57.8136,28.3496,282.1,66,0,2.0,RU,1682298855
36,east london,-33.0153,27.9116,293.25,58,100,2.36,ZA,1682299121
37,ushuaia,-54.8,-68.3,280.96,53,20,2.06,AR,1682299121
38,waitangi,-43.9535,-176.5597,285.83,89,100,1.79,NZ,1682299122
39,utrik,11.2278,169.8474,300.19,81,24,9.55,MH,1682299122
40,avarua,-21.2078,-159.775,299.18,61,64,4.63,CK,1682299122
41,talnakh,69.4865,88.3972,273.82,84,92,3.38,RU,1682299122
42,qaqortoq,60.7167,-46.0333,274.47,76,100,0.72,GL,1682299122
43,el calafate,-50.3408,-72.2768,282.11,88,100,0.54,AR,1682299122
